niveau,wort,artikel,turkce,formen,typ,beispiele,eintrag,quelle
A1 (Start Deutsch 1),einkaufen,,alışveriş yapmak,,Sonstiges,Ich muss noch für morgen einkaufen.,einkaufen,A1_SD1.pdf
A1 (Start Deutsch 1),einladen,,davet etmek,,Sonstiges,Darf ich Sie zu einem Kaffee einladen?,einladen,A1_SD1.pdf
A1 (Start Deutsch 1),Einladung,die,"davet, davetiye",,Nomen,Danke für die Einladung!,die Einladung,A1_SD1.pdf
A1 (Start Deutsch 1),einmal,,"bir kere, bir defa",,Sonstiges,Diese Prüfung mache ich nicht noch einmal.,einmal,A1_SD1.pdf
A1 (Start Deutsch 1),einsteigen,,binmek,,Sonstiges,"Schnell, steig ein, der Zug fährt gleich.",einsteigen,A1_SD1.pdf
A1 (Start Deutsch 1),Eintritt,der,"giriş, giriş ücreti",,Nomen,Der Preis für den Eintritt ist 5 Euro.,der Eintritt,A1_SD1.pdf
A1 (Start Deutsch 1),Einzelzimmer,das,tek kişilik oda,,Nomen,Haben Sie noch ein Einzelzimmer?,das Einzelzimmer,A1_SD1.pdf
A1 (Start Deutsch 1),Eltern,die,"ebeveynler, anne baba",(pl.),Nomen,Meine Eltern leben in Spanien.,die Eltern (pl.),A1_SD1.pdf
A1 (Start Deutsch 1),E-Mail,die,e-posta,-s,Nomen,Ich habe Ihre E-Mail nicht bekommen.,"die E-Mail, -s",A1_SD1.pdf
A1 (Start Deutsch 1),Empfänger,der,alıcı,–,Nomen,"Auf dem Brief steht dein Name, also bist du der Empfänger.","der Empfänger, –",A1_SD1.pdf
A1 (Start Deutsch 1),empfehlen,,"tavsiye etmek, önermek",,Sonstiges,Welchen Wein können Sie mir empfehlen?,empfehlen,A1_SD1.pdf
A1 (Start Deutsch 1),enden,,"bitmek, sona ermek",,Sonstiges,Die Straße endet hier.,enden,A1_SD1.pdf
A1 (Start Deutsch 1),Ende,das,son,,Nomen,Sie wohnt am Ende der Straße. Er bekommt sein Geld am Ende des Monats.,das Ende,A1_SD1.pdf
A1 (Start Deutsch 1),entschuldigen,,"özür dilemek, affetmek",,Sonstiges,Entschuldigen Sie bitte!,entschuldigen,A1_SD1.pdf
A1 (Start Deutsch 1),Entschuldigung,die,"özür, mazeret",,Nomen,Entschuldigung! – Bitte.,die Entschuldigung,A1_SD1.pdf
A1 (Start Deutsch 1),er,,o (erkek),,Sonstiges,Er heißt Ali.,er,A1_SD1.pdf
A1 (Start Deutsch 1),Ergebnis,das,sonuç,-se,Nomen,Das Ergebnis des Tests bekommen Sie in zwei Wochen.,"das Ergebnis, -se",A1_SD1.pdf
A1 (Start Deutsch 1),erklären,,açıklamak,,Sonstiges,Kannst du mir das erklären?,erklären,A1_SD1.pdf
A1 (Start Deutsch 1),erlauben,,izin vermek,,Sonstiges,Rauchen ist hier nicht erlaubt.,erlauben,A1_SD1.pdf
A1 (Start Deutsch 1),Erwachsene,der,yetişkin,-n,Nomen,Dieser Film ist nur für Erwachsene.,"der Erwachsene, -n",A1_SD1.pdf
A1 (Start Deutsch 1),erzählen,,anlatmak,,Sonstiges,Wir müssen euch etwas erzählen!,erzählen,A1_SD1.pdf
A1 (Start Deutsch 1),es,,"o (nötr, cansız)",,Sonstiges,Es regnet.,es,A1_SD1.pdf
A1 (Start Deutsch 1),essen,,yemek,,Sonstiges,Was gibt es zu essen?,essen,A1_SD1.pdf
A1 (Start Deutsch 1),Essen,das,yemek,,Nomen,Das Essen ist heute sehr gut.,das Essen,A1_SD1.pdf
A1 (Start Deutsch 1),euer,,sizin (çoğul iyelik),,Sonstiges,Euer Kurs beginnt heute.,euer,A1_SD1.pdf
A1 (Start Deutsch 1),fahren,,"gitmek, sürmek",,Sonstiges,Ich fahre mit dem Auto zur Arbeit.,fahren,A1_SD1.pdf
A1 (Start Deutsch 1),Fahrer,der,"sürücü, şoför",,Nomen,Bitte nicht mit dem Fahrer sprechen!,der Fahrer,A1_SD1.pdf
A1 (Start Deutsch 1),Fahrkarte,die,bilet,-n,Nomen,Hast du schon eine Fahrkarte?,"die Fahrkarte, -n",A1_SD1.pdf
A1 (Start Deutsch 1),Fahrrad,das,bisiklet,"-ä, er",Nomen,Fährst du mit dem Fahrrad oder mit dem Auto?,"das Fahrrad, -ä, er",A1_SD1.pdf
A1 (Start Deutsch 1),falsch,,yanlış,,Sonstiges,Das ist falsch.,falsch,A1_SD1.pdf
A1 (Start Deutsch 1),Familie,die,aile,-n,Nomen,Meine Familie lebt in Spanien.,"die Familie, -n",A1_SD1.pdf
A1 (Start Deutsch 1),Familienname,der,soyadı,,Nomen,Meine Familiennamen sind García González.,der Familienname,A1_SD1.pdf
A1 (Start Deutsch 1),Familienstand,der,medeni hâl,,Nomen,Bei „Familienstand“ musst du „ledig“ ankreuzen.,der Familienstand,A1_SD1.pdf
A1 (Start Deutsch 1),Farbe,die,renk,-n,Nomen,Die Farbe gefällt mir gut.,"die Farbe, -n",A1_SD1.pdf
A1 (Start Deutsch 1),Fax,das,faks,-e,Nomen,Schicken Sie uns einfach ein Fax!,"das Fax, -e",A1_SD1.pdf
A1 (Start Deutsch 1),Feier-,,"bayram, tatil",,Sonstiges,"z. B. Feierabend, Feiertag Am Montag ist Feiertag.",Feier-,A1_SD1.pdf
A1 (Start Deutsch 1),feiern,,kutlamak,,Sonstiges,Wir feiern heute meinen Geburtstag.,feiern,A1_SD1.pdf
A1 (Start Deutsch 1),fehlen,,"eksik olmak, yok olmak",,Sonstiges,"Herr Müller ist nicht da, er fehlt schon seit drei Tagen. Was fehlt Ihnen?",fehlen,A1_SD1.pdf
A1 (Start Deutsch 1),Fehler,der,hata,–,Nomen,Diesen Fehler mache ich immer.,"der Fehler, –",A1_SD1.pdf
A1 (Start Deutsch 1),fernsehen,,televizyon izlemek,,Sonstiges,Wollen wir heute Abend mal fernsehen?,fernsehen,A1_SD1.pdf
A1 (Start Deutsch 1),fertig,,"hazır, bitmiş",,Sonstiges,Bist du fertig? Ist mein Auto schon fertig?,fertig,A1_SD1.pdf
A1 (Start Deutsch 1),Feuer,das,ateş,,Nomen,Haben Sie Feuer?,das Feuer,A1_SD1.pdf
A1 (Start Deutsch 1),Fieber,das,ateş,,Nomen,Mein Mann hat noch immer Fieber.,das Fieber,A1_SD1.pdf
A1 (Start Deutsch 1),Film,der,film,-e,Nomen,Ich möchte gern diesen Film sehen.,"der Film, -e",A1_SD1.pdf
A1 (Start Deutsch 1),finden,,"bulmak, düşünmek",,Sonstiges,Wir müssen den Schlüssel finden.,finden,A1_SD1.pdf
A1 (Start Deutsch 1),Firma,die,"şirket, firma",,Nomen,Er arbeitet jetzt bei einer anderen Firma.,die Firma,A1_SD1.pdf
A1 (Start Deutsch 1),Fisch,der,balık,-e,Nomen,Ich esse gern Fisch. Fleisch mag ich nicht.,"der Fisch, -e",A1_SD1.pdf
A1 (Start Deutsch 1),Flasche,die,şişe,-n,Nomen,"Eine Flasche Bier, bitte.","die Flasche, -n",A1_SD1.pdf
A1 (Start Deutsch 1),Fleisch,das,et,,Nomen,Fleisch mag ich nicht.,das Fleisch,A1_SD1.pdf
A1 (Start Deutsch 1),fliegen,,uçmak,,Sonstiges,Ich fliege nicht gern. Deshalb fahre ich mit dem Zug.,fliegen,A1_SD1.pdf
A1 (Start Deutsch 1),abfliegen,,"kalkmak, havalanmak",,Sonstiges,Wann fliegst du ab?,abfliegen,A1_SD1.pdf
A1 (Start Deutsch 1),Abflug,der,kalkış,,Nomen,Der Abflug ist um 11.20 Uhr.,der Abflug,A1_SD1.pdf
A1 (Start Deutsch 1),Flughafen,der,"havaalanı, havalimanı",,Nomen,Kannst du mich zum Flughafen bringen?,der Flughafen,A1_SD1.pdf
A1 (Start Deutsch 1),Flugzeug,das,uçak,,Nomen,Das Flugzeug aus Berlin kommt heute später an.,das Flugzeug,A1_SD1.pdf
A1 (Start Deutsch 1),Formular,das,"form, formüler",-e,Nomen,Sie müssen dieses Formular ausfüllen.,"das Formular, -e",A1_SD1.pdf
A1 (Start Deutsch 1),Foto,das,fotoğraf,-s,Nomen,Darf ich ein Foto machen?,"das Foto, -s",A1_SD1.pdf
A1 (Start Deutsch 1),fragen,,sormak,,Sonstiges,Er möchte Sie etwas fragen. Wann kommen Sie?,fragen,A1_SD1.pdf
A1 (Start Deutsch 1),Frage,die,soru,-n,Nomen,Ich habe eine Frage.,"die Frage, -n",A1_SD1.pdf
A1 (Start Deutsch 1),Frau,die,"kadın, bayan",-en,Nomen,"Das ist Frau Becker. Guten Tag, Frau Schmitt! Hier arbeiten mehr Frauen als Männer.","die Frau, -en",A1_SD1.pdf
A1 (Start Deutsch 1),frei,,"boş, serbest",,Sonstiges,Ist der Platz noch frei?,frei,A1_SD1.pdf
A1 (Start Deutsch 1),Freizeit,die,"boş zaman, serbest zaman",,Nomen,In meiner Freizeit spiele ich oft Fußball.,die Freizeit,A1_SD1.pdf
A1 (Start Deutsch 1),fremd,,yabancı,,Sonstiges,Das weiß ich nicht; ich bin fremd hier.,fremd,A1_SD1.pdf
A1 (Start Deutsch 1),sich freuen,,"sevinmek, mutlu olmak",,Sonstiges,Ich freue mich auf den Urlaub.,(sich) freuen,A1_SD1.pdf
A1 (Start Deutsch 1),Freund,der,"arkadaş, erkek arkadaş",-e,Nomen,Das ist ein Freund von mir. Das ist meine Freundin.,"der Freund, -e",A1_SD1.pdf
A1 (Start Deutsch 1),früher,,"eskiden, önceleri",,Sonstiges,Früher waren wir oft zusammen im Kino.,früher,A1_SD1.pdf
A1 (Start Deutsch 1),frühstücken,,kahvaltı yapmak,,Sonstiges,Am Sonntag frühstücke ich gern im Bett.,frühstücken,A1_SD1.pdf
A1 (Start Deutsch 1),Frühstück,das,kahvaltı,,Nomen,Möchtest du ein Ei zum Frühstück?,das Frühstück,A1_SD1.pdf
A1 (Start Deutsch 1),Führung,die,"rehberli tur, gezi",,Nomen,Die Führung durch das Haus beginnt in 3 Minuten.,die Führung,A1_SD1.pdf
A1 (Start Deutsch 1),für,,için,,Sonstiges,Das ist für Sie. Das ist der Schlüssel für die Haustür. Das ist das Brot für morgen.,für,A1_SD1.pdf
A1 (Start Deutsch 1),Fuß,der,ayak,"-ü, e",Nomen,Der linke Fuß tut mir weh.,"der Fuß, -ü, e",A1_SD1.pdf
A1 (Start Deutsch 1),Fußball,der,futbol,,Nomen,Spielt ihr gerne Fußball?,der Fußball,A1_SD1.pdf
A1 (Start Deutsch 1),Garten,der,bahçe,,Nomen,Wir haben leider keinen Garten.,der Garten,A1_SD1.pdf
A1 (Start Deutsch 1),Gast,der,"misafir, konuk","-ä, e",Nomen,Am Wochenende haben wir mehrere Gäste.,"der Gast, -ä, e",A1_SD1.pdf
A1 (Start Deutsch 1),geben,,"vermek, bulunmak",,Sonstiges,Kannst du mir bitte deinen Kugelschreiber geben? Es gibt keine Karten mehr.,geben,A1_SD1.pdf
A1 (Start Deutsch 1),geboren,,doğmuş,,Sonstiges,Ich bin in Zagreb geboren.,geboren,A1_SD1.pdf
A1 (Start Deutsch 1),Geburtsjahr,das,doğum yılı,,Nomen,"Das Geburtsjahr Ihres Sohnes, bitte?",das Geburtsjahr,A1_SD1.pdf
A1 (Start Deutsch 1),Geburtsort,der,doğum yeri,,Nomen,Bitte schreiben Sie Ihren Geburtsort auf das Formular.,der Geburtsort,A1_SD1.pdf
A1 (Start Deutsch 1),Geburtstag,der,doğum günü,,Nomen,Herzlichen Glückwunsch zum Geburtstag!,der Geburtstag,A1_SD1.pdf
A1 (Start Deutsch 1),gefallen,,"hoşuna gitmek, beğenilmek",,Sonstiges,Das gefällt mir.,gefallen,A1_SD1.pdf
A1 (Start Deutsch 1),gegen,,karşı,,Sonstiges,Fahr nicht gegen den Baum! Ich bin gegen diese Lösung. Wer spielt gegen wen?,gegen,A1_SD1.pdf
A1 (Start Deutsch 1),gehen,,gitmek,,Sonstiges,"Ich weiß nicht, wie das geht. Wie geht‘s? Jetzt muss ich (aber) leider gehen. Ich muss zum Arzt gehen. Das geht nicht!",gehen,A1_SD1.pdf
A1 (Start Deutsch 1),gehören,,ait olmak,,Sonstiges,Wem gehört das?,gehören,A1_SD1.pdf
A1 (Start Deutsch 1),Geld,das,para,,Nomen,Hast du noch Geld?,das Geld,A1_SD1.pdf
A1 (Start Deutsch 1),Gemüse,das,sebze,,Nomen,Gemüse brauchen wir auch noch.,das Gemüse,A1_SD1.pdf
A1 (Start Deutsch 1),Gepäck,das,bagaj,,Nomen,Wollen Sie Ihr Gepäck mitnehmen?,das Gepäck,A1_SD1.pdf
A1 (Start Deutsch 1),gerade,,"şu anda, tam şimdi",,Sonstiges,Da kommt er ja gerade.,gerade,A1_SD1.pdf
A1 (Start Deutsch 1),geradeaus,,"doğru, dümdüz",,Sonstiges,Gehen Sie immer geradeaus!,geradeaus,A1_SD1.pdf
A1 (Start Deutsch 1),gern(e),,"seve seve, memnuniyetle",,Sonstiges,Ich gehe gerne einkaufen.,gern(e),A1_SD1.pdf
A1 (Start Deutsch 1),Geschäft,das,"dükkân, mağaza",-e,Nomen,Die Geschäfte schließen um 18.30 Uhr.,"das Geschäft, -e",A1_SD1.pdf
A1 (Start Deutsch 1),Geschenk,das,hediye,-e,Nomen,Danke für das schöne Geschenk.,"das Geschenk, -e",A1_SD1.pdf
A1 (Start Deutsch 1),Geschwister,die,kardeşler,(pl.),Nomen,Ich habe leider keine Geschwister.,die Geschwister (pl.),A1_SD1.pdf
A1 (Start Deutsch 1),Gespräch,das,"görüşme, konuşma",-e,Nomen,Das Gespräch mit Frau Kunz ist um 14 Uhr.,"das Gespräch, -e",A1_SD1.pdf
A1 (Start Deutsch 1),gestern,,dün,,Sonstiges,Gestern war ich krank.,gestern,A1_SD1.pdf
A1 (Start Deutsch 1),gestorben,,"ölmüş, vefat etmiş",,Sonstiges,Meine Frau ist gestern gestorben.,gestorben,A1_SD1.pdf
A1 (Start Deutsch 1),Getränk,das,içecek,-e,Nomen,Mein Lieblingsgetränk ist Tomatensaft.,"das Getränk, -e",A1_SD1.pdf
A1 (Start Deutsch 1),Gewicht,das,ağırlık,,Nomen,Bei „Gewicht“ schreibst du: 62 Kilo.,das Gewicht,A1_SD1.pdf
A1 (Start Deutsch 1),gewinnen,,kazanmak,,Sonstiges,Wer gewinnt das Spiel?,gewinnen,A1_SD1.pdf
A1 (Start Deutsch 1),Glas,das,"bardak, cam","-ä, er",Nomen,Bitte noch ein Glas Wein! Wir brauchen noch drei Gläser.,"das Glas, -ä, er",A1_SD1.pdf
A1 (Start Deutsch 1),glauben,,"sanmak, inanmak, düşünmek",,Sonstiges,"Sie können mir glauben, es ist so. Ich glaube, er kommt gleich.",glauben,A1_SD1.pdf
A1 (Start Deutsch 1),gleich,,"hemen, aynı",,Sonstiges,Das ist mir gleich. Das ist der gleiche Preis. Ich komme gleich.,gleich,A1_SD1.pdf
A1 (Start Deutsch 1),Gleis,das,"peron, ray",-e,Nomen,Der ICE nach Berlin hält heute an Gleis 12.,"das Gleis, -e",A1_SD1.pdf
A1 (Start Deutsch 1),Glück,das,"şans, mutluluk",,Nomen,Viel Glück!,das Glück,A1_SD1.pdf
A1 (Start Deutsch 1),glücklich,,mutlu,,Sonstiges,Meine Kinder sind glücklich verheiratet.,glücklich,A1_SD1.pdf
A1 (Start Deutsch 1),Glückwunsch,der,tebrik,,Nomen,Herzlichen Glückwunsch zum Geburtstag.,der Glückwunsch,A1_SD1.pdf
A1 (Start Deutsch 1),Grad,,derece,(Celsius),Sonstiges,Heute haben wir dreißig Grad.,Grad (Celsius),A1_SD1.pdf
A1 (Start Deutsch 1),gratulieren,,tebrik etmek,,Sonstiges,Ich gratuliere dir!,gratulieren,A1_SD1.pdf
A1 (Start Deutsch 1),grillen,,"mangal yapmak, ızgara yapmak",,Sonstiges,Heute grillen wir im Garten.,grillen,A1_SD1.pdf
A1 (Start Deutsch 1),groß,,büyük,,Sonstiges,Mein Bruder und ich sind gleich groß. Frankfurt ist eine große Stadt.,groß,A1_SD1.pdf
A1 (Start Deutsch 1),Größe,die,"beden, boyut",,Nomen,Haben Sie das auch in Größe 40?,die Größe,A1_SD1.pdf
A1 (Start Deutsch 1),Großeltern,die,büyükanne ve büyükbaba,(pl.),Nomen,Meine Großeltern leben in Japan.,die Großeltern (pl.),A1_SD1.pdf
A1 (Start Deutsch 1),Großmutter,die,büyükanne,,Nomen,Meine Großmutter heißt Eva.,die Großmutter,A1_SD1.pdf
A1 (Start Deutsch 1),Großvater,der,büyükbaba,,Nomen,Mein Großvater ist schon 80.,der Großvater,A1_SD1.pdf
A1 (Start Deutsch 1),Gruppe,die,grup,-n,Nomen,Die erste Gruppe beginnt um 16 Uhr.,"die Gruppe, -n",A1_SD1.pdf
A1 (Start Deutsch 1),Gruß,der,selam,"-ü, e",Nomen,Viele Grüße an Ihre Frau. Mit freundlichen Grüßen,"der Gruß, -ü, e",A1_SD1.pdf
A1 (Start Deutsch 1),gültig,,geçerli,,Sonstiges,Der Pass ist nicht mehr gültig.,gültig,A1_SD1.pdf
A1 (Start Deutsch 1),günstig,,"uygun fiyatlı, ucuz",,Sonstiges,Dort gibt es günstige Angebote.,günstig,A1_SD1.pdf
A1 (Start Deutsch 1),gut,,iyi,,Sonstiges,Das finde ich gut. Ich komme um 13 Uhr. – Gut! Guten Morgen! Ein gutes neues Jahr! Guten Appetit!,gut,A1_SD1.pdf
A1 (Start Deutsch 1),Haar,das,saç,-e,Nomen,Sie hat lange Haare.,"das Haar, -e",A1_SD1.pdf
A1 (Start Deutsch 1),haben,,sahip olmak,,Sonstiges,Ich habe ein neues Auto.,haben,A1_SD1.pdf
A1 (Start Deutsch 1),Hähnchen,das,"piliç, tavuk",-,Nomen,Ein Hähnchen mit Pommes bitte!,"das Hähnchen, -",A1_SD1.pdf
A1 (Start Deutsch 1),Halbpension,die,yarım pansiyon,,Nomen,Möchten Sie Vollpension oder Halbpension?,die Halbpension,A1_SD1.pdf
A1 (Start Deutsch 1),Halle,die,"salon, hol",,Nomen,Wir treffen uns in Halle B,die Halle,A1_SD1.pdf
A1 (Start Deutsch 1),hallo,,merhaba,,Sonstiges,Hallo Inge! Wie geht’s?,hallo,A1_SD1.pdf
A1 (Start Deutsch 1),halten,,"durmak, tutmak",,Sonstiges,Dieser Zug hält nicht in Rüdesheim.,halten,A1_SD1.pdf
A1 (Start Deutsch 1),Haltestelle,die,durak,,Nomen,An der nächsten Haltestelle müssen Sie aussteigen.,die Haltestelle,A1_SD1.pdf
A1 (Start Deutsch 1),Hand,die,el,"-ä, e",Nomen,Er gibt mir die Hand.,"die Hand, -ä, e",A1_SD1.pdf
A1 (Start Deutsch 1),Handy,das,cep telefonu,-s,Nomen,In der Schule bitte die Handys ausmachen!,"das Handy, -s",A1_SD1.pdf
A1 (Start Deutsch 1),Haus,das,ev,"-ä, er",Nomen,In welchem Haus wohnst du? Ich gehe jetzt nach Hause. Paul ist nicht zu Hause.,"das Haus, -ä, er",A1_SD1.pdf
A1 (Start Deutsch 1),Hausaufgabe,die,ev ödevi,-n,Nomen,Kannst du mir bei den Hausaufgaben helfen?,"die Hausaufgabe,-n",A1_SD1.pdf
A1 (Start Deutsch 1),Hausfrau,die,ev hanımı,-en/,Nomen,,"die Hausfrau, -en/",A1_SD1.pdf
A1 (Start Deutsch 1),Hausmann,der,ev erkeği,,Nomen,"Die Hausfrau/der Hausmann wäscht, kocht und kauft ein.",der Hausmann,A1_SD1.pdf
A1 (Start Deutsch 1),Heimat,die,"vatan, memleket",,Nomen,Ich komme aus der Schweiz. Das ist meine Heimat.,die Heimat,A1_SD1.pdf
A1 (Start Deutsch 1),heiraten,,evlenmek,,Sonstiges,Meine Schwester heiratet einen Japaner.,heiraten,A1_SD1.pdf
A1 (Start Deutsch 1),heißen,,"adı olmak, denmek",,Sonstiges,Ich heiße Charlotte Meier. Wie heißt das auf Deutsch?,heißen,A1_SD1.pdf
A1 (Start Deutsch 1),helfen,,yardım etmek,,Sonstiges,"Können Sie mir helfen, bitte?",helfen,A1_SD1.pdf
A1 (Start Deutsch 1),hell,,"aydınlık, parlak",,Sonstiges,Im Sommer ist es bis 21 Uhr hell.,hell,A1_SD1.pdf
A1 (Start Deutsch 1),Herd,der,ocak (mutfak),,Nomen,In der neuen Küche fehlt noch der Herd.,der Herd,A1_SD1.pdf
A1 (Start Deutsch 1),Herr,der,"bay, efendi",-en,Nomen,"Guten Tag, Herr Sommer!","der Herr, -en",A1_SD1.pdf
A1 (Start Deutsch 1),herzlich,,"içten, samimi",,Sonstiges,Herzlichen Glückwunsch!,herzlich,A1_SD1.pdf
A1 (Start Deutsch 1),heute,,bugün,,Sonstiges,Heute ist ein schöner Tag.,heute,A1_SD1.pdf
A1 (Start Deutsch 1),hier,,burada,,Sonstiges,"Hier ist 06131-553221, Pamela Linke. Hier wohne ich.",hier,A1_SD1.pdf
A1 (Start Deutsch 1),Hilfe,die,yardım,,Nomen,Hilfe! Bitte helfen Sie mir! Brauchen Sie meine Hilfe?,die Hilfe,A1_SD1.pdf
A1 (Start Deutsch 1),hinten,,"arkada, arkasında",,Sonstiges,Die Tür zum Aussteigen ist hinten.,hinten,A1_SD1.pdf
A1 (Start Deutsch 1),Hobby,das,hobi,-s,Nomen,Meine Hobbys sind Wandern und Schwimmen.,"das Hobby, -s",A1_SD1.pdf
A1 (Start Deutsch 1),hoch,,yüksek,,Sonstiges,Der Mount Everest ist 8.880 Meter hoch.,hoch,A1_SD1.pdf
A1 (Start Deutsch 1),Hochzeit,die,düğün,,Nomen,Zur dieser Hochzeit kommen mehr als fünfzig Gäste.,die Hochzeit,A1_SD1.pdf
A1 (Start Deutsch 1),holen,,"getirmek, almak",,Sonstiges,Ich hole zwei Flaschen Wasser aus der Küche.,holen,A1_SD1.pdf
A1 (Start Deutsch 1),hören,,"duymak, dinlemek",,Sonstiges,Hör mal! Was ist das? Ich habe das Lied schon mal gehört.,hören,A1_SD1.pdf
A1 (Start Deutsch 1),Hotel,das,otel,-s,Nomen,Im Urlaub sind wir in einem Hotel am Meer.,"das Hotel, -s",A1_SD1.pdf
A1 (Start Deutsch 1),Hund,der,köpek,-e,Nomen,Der Hund ist noch jung.,"der Hund, -e",A1_SD1.pdf
A1 (Start Deutsch 1),Hunger,der,açlık,,Nomen,Ich habe Hunger! Wann ist das Essen fertig?,der Hunger,A1_SD1.pdf
A1 (Start Deutsch 1),ich,,ben,,Sonstiges,Ich heiße Veronika.,ich,A1_SD1.pdf
A1 (Start Deutsch 1),ihr/ihm/ihn,,"ona, onu",,Sonstiges,Gib ihr/ihm bitte das Buch. Ruf ihn bitte an.,ihr/ihm/ihn,A1_SD1.pdf
A1 (Start Deutsch 1),immer,,her zaman,,Sonstiges,Frau Bast kommt immer zu spät.,immer,A1_SD1.pdf
A1 (Start Deutsch 1),in,,"içinde, -de/-da",,Sonstiges,"Ich wohne in Wiesbaden. Der Zug kommt in fünf Minuten. Frau Rausch arbeitet in einem Geschäft. Komm, wir gehen ins Kino.",in,A1_SD1.pdf
A1 (Start Deutsch 1),Information,die,bilgi,-en,Nomen,"Wenn Sie Fragen haben, gehen Sie zur Information. Wir haben hier wichtige Informationen für Sie.","die Information, -en",A1_SD1.pdf
A1 (Start Deutsch 1),international,,uluslararası,,Sonstiges,"Unser Deutschkurs ist international: Silvana kommt aus Italien, Conchi aus Spanien, Yin aus China ...",international,A1_SD1.pdf
A1 (Start Deutsch 1),Internet,das,internet,,Nomen,Das findest du im Internet.,das Internet,A1_SD1.pdf
A1 (Start Deutsch 1),ja,,evet,,Sonstiges,Sind Sie Herr Watanabe? – Ja.,ja,A1_SD1.pdf
A1 (Start Deutsch 1),Jacke,die,ceket,-n,Nomen,Zieh dir eine Jacke an. Es ist kalt.,"die Jacke, -n",A1_SD1.pdf
A1 (Start Deutsch 1),jed-,,her,,Sonstiges,Blumen kannst du in jedem Bahnhof kaufen.,jed-,A1_SD1.pdf
A1 (Start Deutsch 1),jetzt,,şimdi,,Sonstiges,Jetzt machen wir eine Pause.,jetzt,A1_SD1.pdf
A1 (Start Deutsch 1),Job,der,iş,-s,Nomen,Jenny hat einen neuen Job bei der Post.,"der Job, -s",A1_SD1.pdf
A1 (Start Deutsch 1),Jugendliche,der,genç,-n,Nomen,Viele Jugendliche kaufen gern ein.,"der Jugendliche, -n",A1_SD1.pdf
A1 (Start Deutsch 1),jung,,genç,,Sonstiges,Claudia ist 21. – Was? Noch so jung?,jung,A1_SD1.pdf
A1 (Start Deutsch 1),Junge,der,"erkek çocuk, oğlan",-n,Nomen,Ich habe zwei Kinder. Einen Jungen und ein Mädchen.,"der Junge, -n",A1_SD1.pdf
A1 (Start Deutsch 1),Kaffee,der,kahve,,Nomen,Zum Frühstück trinke ich immer Kaffee.,der Kaffee,A1_SD1.pdf
A1 (Start Deutsch 1),kaputt,,"bozuk, kırık",,Sonstiges,Das Glas war teuer. Es geht sehr leicht kaputt.,kaputt,A1_SD1.pdf
A1 (Start Deutsch 1),Karte,die,"kart, harita",-n,Nomen,"Ich schreibe meinen Bekannten eine Karte aus dem Urlaub. Wollen wir Karten spielen? Ich möchte auch etwas essen. Bringen Sie mir die Karte, bitte.","die Karte, -n",A1_SD1.pdf
A1 (Start Deutsch 1),(Kredit)-Karte,,"kart, kredi kartı",-n,Sonstiges,Kann ich auch mit Karte (be-) zahlen?,"(Kredit)-Karte, -n",A1_SD1.pdf
A1 (Start Deutsch 1),Kartoffel,die,patates,-n,Nomen,Für Pommes frites braucht man Kartoffeln.,"die Kartoffel, -n",A1_SD1.pdf
A1 (Start Deutsch 1),Kasse,die,kasa,,Nomen,Zahlen Sie bitte an der Kasse.,die Kasse,A1_SD1.pdf
A1 (Start Deutsch 1),kaufen,,"satın almak, almak",,Sonstiges,Tim kauft sich ein neues Auto.,kaufen,A1_SD1.pdf
A1 (Start Deutsch 1),kein,,"hiç, hiçbir",,Sonstiges,Es gibt keine Eintrittskarten mehr.,kein,A1_SD1.pdf
A1 (Start Deutsch 1),kennen,,"tanımak, bilmek",,Sonstiges,"Kennen Sie diese Frau? – Nein, leider nicht.",kennen,A1_SD1.pdf
A1 (Start Deutsch 1),kennenlernen,,tanışmak,,Sonstiges,Wir sind neu hier. Wir möchten Sie kennenlernen.,kennenlernen,A1_SD1.pdf
A1 (Start Deutsch 1),Kind,das,çocuk,-er,Nomen,Wie viele Kinder haben Sie?,"das Kind, -er",A1_SD1.pdf
A1 (Start Deutsch 1),Kindergarten,der,anaokulu,,Nomen,Die kleine Laura geht schon in den Kindergarten.,der Kindergarten,A1_SD1.pdf
A1 (Start Deutsch 1),Kino,das,sinema,-s,Nomen,Wir sehen heute Abend im Kino einen schönen Film.,"das Kino, -s",A1_SD1.pdf
A1 (Start Deutsch 1),Kiosk,der,"büfe, kulübe",,Nomen,"Am Kiosk bekommen Sie Getränke, Zigaretten und Zeitungen.",der Kiosk,A1_SD1.pdf
A1 (Start Deutsch 1),klar,,"tabii, elbette, açık",,Sonstiges,Kommst du mit? – Klar!,klar,A1_SD1.pdf
A1 (Start Deutsch 1),Klasse,die,sınıf,,Nomen,In unserer Klasse sind fünfundzwanzig Schüler. Im Zug fahre ich immer 2. Klasse.,die Klasse,A1_SD1.pdf
A1 (Start Deutsch 1),Kleidung,die,"giysi, kıyafet",,Nomen,"Wo finde ich Kleidung? – Jacken im ersten, Jeans im zweiten Stock.",die Kleidung,A1_SD1.pdf
A1 (Start Deutsch 1),klein,,küçük,,Sonstiges,Eltville ist eine kleine Stadt am Rhein.,klein,A1_SD1.pdf
A1 (Start Deutsch 1),kochen,,"pişirmek, yemek yapmak",,Sonstiges,Herr Georgi kann gut kochen.,kochen,A1_SD1.pdf
